		aest01_1	aest06_1	aest07_1	aest10_1	aest15_1	aest18_1	aest24_1	aest25_1	aest26_1	aest28_1	aest29_1	aest31_1	aest35_1	aest36_1
BOHBU197	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU198	BOB	242	218	256	295	312	140	292	128	145	383	216	313	148	326
BOHBU2	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU20	BOB	0	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU200	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU202	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU203	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU204	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU205	BOB	242	218	256	280	312	140	298	122	157	383	216	308	148	322
BOHBU207	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU208	BOB	236	236	261	295	312	140	298	128	178	389	211	308	148	326
BOHBU21	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU210	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU213	BOB	236	0	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU214	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU216	BOB	242	236	256	280	312	164	298	122	157	356	211	318	148	326
BOHBU217	BOB	236	218	256	295	312	140	298	128	145	389	216	318	148	0
BOHBU218	BOB	0	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU219	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU22	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU225	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU226	BOB	242	218	261	280	312	140	298	122	145	383	216	308	148	326
BOHBU228	BOB	242	218	261	280	312	140	298	122	145	389	216	313	148	326
BOHBU23	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU233	BOB	242	218	261	280	312	160	301	122	157	383	211	308	148	326
BOHBU234	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU236	BOB	236	236	261	295	312	140	298	128	178	383	211	308	148	322
BOHBU237	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU24	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU240	BOB	236	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU241	BOB	236	236	261	295	312	140	298	128	178	389	211	308	148	326
BOHBU242	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU246	BOB	242	236	256	280	312	164	298	122	157	356	211	318	148	326
BOHBU247	BOB	254	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU248	BOB	236	218	261	280	312	140	298	128	145	338	216	318	148	326
BOHBU25	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU253	BOB	242	236	261	280	312	160	301	122	157	383	211	308	148	326
BOHBU254	BOB	242	236	261	280	312	160	298	122	157	356	211	318	148	326
BOHBU255	BOB	254	236	261	295	312	164	298	128	178	356	211	313	148	322
BOHBU257	BOB	242	217	256	280	312	160	301	122	157	356	216	308	148	326
BOHBU259	BOB	242	217	261	280	312	160	301	122	157	383	211	308	148	326
BOHBU26	BOB	0	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU260	BOB	242	236	256	280	312	160	298	122	157	389	211	313	148	326
BOHBU261	BOB	242	236	261	280	312	160	298	122	157	356	211	318	148	326
BOHBU262	BOB	242	218	261	280	312	140	298	122	145	389	216	313	148	326
BOHBU263	BOB	242	236	256	280	312	160	298	122	157	389	211	313	148	326
BOHBU264	BOB	242	236	261	280	312	160	298	122	157	356	211	318	148	326
BOHBU265	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU266	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU267	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU268	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU269	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU27	BOB	242	218	261	280	312	140	298	128	145	383	211	308	148	326
BOHBU270	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU271	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU272	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU273	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU274	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU275	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU276	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU277	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU278	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU279	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU28	BOB	236	218	256	280	312	140	298	128	145	389	216	308	148	326
BOHBU280	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU281	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU282	BOB	242	218	261	295	312	140	292	128	145	389	216	313	148	326
BOHBU283	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU284	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU285	BOB	242	218	261	280	312	140	298	128	145	389	216	313	148	326
BOHBU286	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU287	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU288	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU289	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU29	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU290	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU291	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU292	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU293	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU294	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU295	BOB	242	218	261	280	312	140	298	122	178	383	211	308	148	326
BOHBU296	BOB	242	236	256	280	312	160	298	122	157	356	211	313	148	326
BOHBU297	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU298	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU299	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU3	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU30	BOB	236	218	261	295	312	140	298	128	142	359	216	313	148	326
BOHBU300	BOB	242	236	256	280	312	160	298	122	142	356	211	308	148	326
BOHBU301	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU302	BOB	236	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU303	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU304	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU305	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU306	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU308	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU309	BOB	242	236	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU31	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU310	BOB	242	218	256	280	312	140	298	122	145	338	211	318	148	326
BOHBU311	BOB	254	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU312	BOB	254	236	256	280	312	144	298	122	145	380	221	313	148	322
BOHBU313	BOB	242	218	261	280	312	164	298	128	157	356	231	313	148	326
BOHBU314	BOB	254	230	266	294	317	136	304	137	157	401	204	313	152	326
BOHBU315	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU316	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU317	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU318	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU319	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU32	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU320	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU321	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU322	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU323	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU324	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU325	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU326	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU327	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU328	BOB	236	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU329	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU33	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU330	BOB	236	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU331	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU332	BOB	242	218	256	280	312	160	298	128	145	353	216	308	148	326
BOHBU333	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU334	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU335	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU336	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU337	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU338	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU339	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU34	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU340	BOB	236	218	261	295	312	140	298	128	178	404	216	308	148	326
BOHBU341	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU342	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU343	BOB	242	236	256	280	312	160	298	122	157	356	211	318	148	326
BOHBU344	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU345	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU346	BOB	242	218	261	280	312	140	298	128	145	389	216	313	148	326
BOHBU347	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	322
BOHBU348	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU349	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU35	BOB	0	236	261	288	312	144	298	128	178	383	241	308	148	322
BOHBU350	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU351	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU352	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU353	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU355	BOB	236	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU356	BOB	0	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU358	BOB	236	218	256	295	312	140	292	128	145	383	216	308	148	326
BOHBU36	BOB	242	218	256	280	312	140	298	0	157	389	216	313	148	326
BOHBU360	BOB	242	218	256	280	312	160	298	122	157	383	211	308	148	326
BOHBU361	BOB	242	217	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU362	BOB	254	236	261	280	312	164	298	122	142	392	211	313	148	322
BOHBU363	BOB	242	218	261	280	312	160	301	122	157	338	211	308	148	326
BOHBU364	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU365	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU366	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU367	BOB	242	236	256	280	312	160	298	122	157	389	211	313	148	326
BOHBU368	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU369	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU37	BOB	242	218	256	280	312	164	298	122	157	389	211	318	148	326
BOHBU370	BOB	242	236	261	280	312	164	298	122	157	356	211	318	148	326
BOHBU371	BOB	242	236	256	280	312	160	298	122	157	389	211	313	148	326
BOHBU372	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU373	BOB	254	236	256	280	312	160	298	122	157	383	211	308	148	326
BOHBU374	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU375	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU376	BOB	236	218	261	295	312	140	298	128	178	404	216	308	148	326
BOHBU377	BOB	242	218	256	280	312	160	298	128	142	389	211	308	148	326
BOHBU378	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU379	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU38	BOB	236	218	256	280	312	140	0	128	145	389	216	313	148	322
BOHBU380	BOB	254	236	261	280	312	160	298	128	142	389	211	308	148	322
BOHBU381	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU382	BOB	242	218	261	280	312	160	295	128	157	383	211	308	148	326
BOHBU383	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU384	BOB	242	236	261	280	312	164	298	122	157	356	211	318	148	326
BOHBU385	BOB	242	236	256	280	312	160	298	122	157	356	211	318	148	326
